('V', 'V', 'V', 'X', 'X'):ㅇㅣㄹㅏㅁ
('V', 'X', 'X', 'V', 'X'):ㅂㅜㄹㅅㅣ
('O', 'X', 'O', 'V', 'X'):ㅂㅗㄹㅜㅣ
('X', 'O', 'V', 'X', 'V'):ㅇㅜㅁㅣㅇ
('X', 'X', 'O', 'V', 'X'):ㅈㅣㅂㅅㅗ
('X', 'X', 'O', 'X', 'X'):ㅈㅜㅓㅅㅣ
('X', 'X', 'V', 'X', 'X'):ㅅㅣㄹㅜㅓ
('X', 'X', 'X', 'V', 'O'):ㅁㅣㄹㅅㅓ
('X', 'V', 'X', 'X', 'X'):ㅅㅣㅁㅜㄹ
('X', 'X', 'X', 'V', 'V'):ㅅㅗㄹㅈㅣ
('X', 'X', 'V', 'X', 'O'):ㅁㅣㄹㅜㅓ
('X', 'X', 'X', 'X', 'V'):ㅅㅜㄹㅈㅣ
('X', 'X', 'V', 'X', 'V'):ㅇㅜㅣㅇㅓ
('X', 'V', 'X', 'X', 'V'):ㅅㅣㅁㄷㅜ
('V', 'X', 'O', 'X', 'X'):ㅇㅜㅣㄱㅓ
('V', 'X', 'X', 'X', 'X'):ㅅㅓㄱㅜㅣ
('O', 'X', 'O', 'X', 'O'):ㅇㅣㅇㅜㅓ
('V', 'O', 'O', 'X', 'X'):ㄷㅜㅅㅣㄱ
('X', 'O', 'X', 'O', 'X'):ㅈㅣㄹㅅㅏ
('X', 'V', 'X', 'V', 'O'):ㅅㅣㄷㅏㄹ
('X', 'V', 'X', 'V', 'X'):ㅅㅣㄹㅈㅏ
('X', 'X', 'X', 'X', 'X'):ㅂㅜㄹㅅㅣ
('X', 'O', 'O', 'X', 'O'):ㅇㅜㅣㅅㅕ
('O', 'O', 'X', 'X', 'X'):ㅅㅜㄹㅣㅁ
('O', 'O', 'V', 'X', 'X'):ㅁㅜㄹㅏㅇ
('V', 'X', 'V', 'O', 'X'):ㅅㅣㄱㅜㄹ
('X', 'X', 'X', 'V', 'X'):ㅅㅗㄹㅂㅣ
('X', 'O', 'V', 'X', 'X'):ㅅㅣㅁㅏㄹ
('X', 'X', 'V', 'V', 'V'):ㅅㅗㄴㅇㅣ
('X', 'X', 'O', 'X', 'V'):ㄴㅐㅅㅜㅣ
('X', 'V', 'V', 'X', 'V'):ㅇㅜㅁㅣㅇ
('O', 'V', 'X', 'X', 'O'):ㅅㅓㄱㅜㅣ
('V', 'X', 'X', 'X', 'V'):ㅅㅓㄱㅜㅣ
('X', 'O', 'X', 'V', 'V'):ㄷㅣㅁㅅㅡ
('V', 'V', 'X', 'X', 'X'):ㅅㅜㅈㅏㅁ
('X', 'O', 'X', 'X', 'V'):ㅅㅜㅁㅣㄹ
('V', 'X', 'O', 'V', 'X'):ㅇㅗㅈㅣㄱ
